,total_bookings,cancelled_bookings,missed_bookings,total_bookings_month_1,total_bookings_month_2,total_bookings_month_3,cancelled_bookings_month_1,cancelled_bookings_month_2,cancelled_bookings_month_3,missed_bookings_month_1,missed_bookings_month_2,missed_bookings_month_3,is_male,is_female,age,prediction_start_date_month,prediction_start_date_year,total_bookings_month_1_to_3_diff,cancelled_bookings_month_1_to_3_diff,missed_bookings_month_1_to_3_diff,did_churn
0,1,0,0,0,0,1,0,0,0,0,0,0,False,False,37.54882613133719,1,2019,1,0,0,True
1,11,0,1,5,1,5,0,0,0,0,1,0,False,True,31.0,1,2019,0,0,0,False
2,2,0,0,1,0,1,0,0,0,0,0,0,True,False,19.0,1,2019,0,0,0,False
3,7,0,0,2,3,2,0,0,0,0,0,0,False,False,37.54882613133719,1,2019,0,0,0,False
4,25,0,0,9,8,8,0,0,0,0,0,0,False,True,46.0,1,2019,-1,0,0,False
5,10,0,0,0,4,6,0,0,0,0,0,0,True,False,16.0,1,2019,6,0,0,False
6,7,0,0,5,1,1,0,0,0,0,0,0,False,False,37.54882613133719,1,2019,-4,0,0,False
7,6,0,0,3,2,1,0,0,0,0,0,0,False,False,37.54882613133719,1,2019,-2,0,0,False
8,2,0,0,2,0,0,0,0,0,0,0,0,False,True,32.0,1,2019,-2,0,0,True
9,7,1,1,3,3,1,1,0,0,1,0,0,False,True,33.0,1,2019,-2,-1,-1,False
10,1,0,0,0,0,1,0,0,0,0,0,0,False,True,37.54882613133719,1,2019,1,0,0,True
11,1,0,0,0,1,0,0,0,0,0,0,0,False,True,37.54882613133719,1,2019,0,0,0,False
12,2,0,0,0,0,2,0,0,0,0,0,0,False,False,37.54882613133719,1,2019,2,0,0,False
13,1,0,0,0,0,1,0,0,0,0,0,0,False,False,37.54882613133719,1,2019,1,0,0,True
14,2,0,0,0,2,0,0,0,0,0,0,0,False,True,37.54882613133719,1,2019,0,0,0,True
15,1,0,0,0,1,0,0,0,0,0,0,0,False,False,48.0,1,2019,0,0,0,True
16,1,0,0,0,0,1,0,0,0,0,0,0,False,True,37.54882613133719,1,2019,1,0,0,False
17,10,0,0,5,4,1,0,0,0,0,0,0,False,True,35.0,1,2019,-4,0,0,False
18,2,0,0,1,0,1,0,0,0,0,0,0,False,True,37.54882613133719,1,2019,0,0,0,False
19,1,0,0,1,0,0,0,0,0,0,0,0,True,False,37.54882613133719,1,2019,-1,0,0,False
20,11,0,1,8,3,0,0,0,0,1,0,0,False,True,37.54882613133719,1,2019,-8,0,-1,True
21,3,0,0,0,3,0,0,0,0,0,0,0,True,False,48.0,1,2019,0,0,0,True
22,1,0,0,0,1,0,0,0,0,0,0,0,False,True,43.0,1,2019,0,0,0,True
23,6,0,0,1,3,2,0,0,0,0,0,0,False,True,5.0,1,2019,1,0,0,False
24,11,0,0,5,3,3,0,0,0,0,0,0,False,False,37.54882613133719,1,2019,-2,0,0,False
25,6,0,0,4,1,1,0,0,0,0,0,0,False,False,49.0,1,2019,-3,0,0,True
26,1,0,0,0,0,1,0,0,0,0,0,0,True,False,37.54882613133719,1,2019,1,0,0,True
27,5,0,0,1,2,2,0,0,0,0,0,0,False,True,36.0,1,2019,1,0,0,False
28,2,0,0,0,0,2,0,0,0,0,0,0,True,False,19.0,1,2019,2,0,0,False
